Vehicle_Type,Vehicle_Dimensions,Geographical_Location,Amount_Frauded
0.1790209790209789,0.5,0.7366896538018208,0.21621621621621623
0.0,1.0,1.0,0.21621621621621623
1.0,0.0,0.5914964265165636,0.21621621621621623
1.0,0.0,0.27163904235727454,0.21621621621621623
0.0,1.0,0.7366896538018208,0.21621621621621623
0.0,1.0,0.0,0.21621621621621623
0.018233918128654825,0.5,1.0,0.21621621621621623
0.0,1.0,0.7366896538018208,0.21621621621621623
0.16441281138790043,1.0,0.0,0.21621621621621623
0.34436300174520085,0.0,0.0,0.21621621621621623
1.0,0.0,0.27163904235727454,0.21621621621621623
0.05277974087161352,1.0,0.7366896538018208,0.21621621621621623
0.0,1.0,0.27163904235727454,0.21621621621621623
0.05277974087161352,1.0,0.27163904235727454,0.7297297297297298
0.34436300174520085,0.0,1.0,0.4594594594594595
0.0,1.0,1.0,0.2702702702702703
0.34436300174520085,0.0,0.0,0.21621621621621623
0.0,1.0,1.0,0.21621621621621623
0.018233918128654825,0.5,0.5914964265165636,0.24324324324324326
1.0,0.0,0.7366896538018208,0.21621621621621623
0.1790209790209789,0.5,1.0,0.21621621621621623
0.34436300174520085,0.0,1.0,0.21621621621621623
1.0,0.0,0.0,0.21621621621621623
0.1790209790209789,0.5,1.0,0.28378378378378377
0.0,1.0,0.7366896538018208,0.21621621621621623
0.0,1.0,0.7366896538018208,0.2972972972972973
0.1790209790209789,0.5,0.0,0.21621621621621623
0.1790209790209789,0.5,0.7366896538018208,0.21621621621621623
0.05277974087161352,1.0,1.0,0.21621621621621623
1.0,0.0,0.7366896538018208,0.21621621621621623
0.34436300174520085,0.0,0.7366896538018208,0.13513513513513514
0.0,1.0,1.0,0.21621621621621623
0.018233918128654825,0.5,0.0,0.21621621621621623
1.0,0.0,0.5914964265165636,0.21621621621621623
0.1790209790209789,0.5,0.27163904235727454,0.2702702702702703
0.16441281138790043,1.0,0.27163904235727454,0.21621621621621623
0.1790209790209789,0.5,0.0,0.21621621621621623
0.34436300174520085,0.0,0.7366896538018208,0.21621621621621623
1.0,0.0,0.27163904235727454,0.21621621621621623
1.0,0.0,0.27163904235727454,0.21621621621621623
0.16441281138790043,1.0,0.7366896538018208,0.7567567567567568
0.16441281138790043,1.0,1.0,0.7972972972972974
1.0,0.0,1.0,0.21621621621621623
1.0,0.0,0.7366896538018208,0.21621621621621623
1.0,0.0,0.27163904235727454,0.21621621621621623
0.05277974087161352,1.0,0.7366896538018208,0.21621621621621623
0.1790209790209789,0.5,0.0,0.21621621621621623
0.1790209790209789,0.5,0.0,0.3783783783783784
0.0,1.0,0.0,0.21621621621621623
0.018233918128654825,0.5,1.0,0.21621621621621623
0.018233918128654825,0.5,0.7366896538018208,0.21621621621621623
0.0,1.0,0.27163904235727454,0.21621621621621623
0.0,1.0,0.0,0.2702702702702703
0.1790209790209789,0.5,0.0,0.21621621621621623
1.0,0.0,0.0,0.21621621621621623
